          Na	        S(6)	
  0.0000e+00	  9.8223e-03	
  9.9947e-02	  1.4812e-02	
  1.9987e-01	  1.7762e-02	
  2.9978e-01	  2.0018e-02	
  3.9968e-01	  2.1875e-02	
  4.9958e-01	  2.3461e-02	
  5.9946e-01	  2.4846e-02	
  6.9934e-01	  2.6075e-02	
  7.9922e-01	  2.7178e-02	
  8.9909e-01	  2.8176e-02	
  9.9895e-01	  2.9085e-02	
  1.0988e+00	  2.9919e-02	
  1.1987e+00	  3.0686e-02	
  1.2985e+00	  3.1394e-02	
  1.3984e+00	  3.2051e-02	
  1.4982e+00	  3.2661e-02	
  1.5981e+00	  3.3230e-02	
  1.6979e+00	  3.3760e-02	
  1.7978e+00	  3.4256e-02	
  1.8976e+00	  3.4720e-02	
  1.9975e+00	  3.5155e-02	
  2.0973e+00	  3.5563e-02	
  2.1972e+00	  3.5947e-02	
  2.2970e+00	  3.6307e-02	
  2.3968e+00	  3.6646e-02	
  2.4967e+00	  3.6966e-02	
  2.5965e+00	  3.7266e-02	
  2.6963e+00	  3.7549e-02	
  2.7962e+00	  3.7816e-02	
  2.8960e+00	  3.8067e-02	
  2.9959e+00	  3.8304e-02	
  3.0957e+00	  3.8527e-02	
  3.1955e+00	  3.8738e-02	
  3.2954e+00	  3.8936e-02	
  3.3952e+00	  3.9122e-02	
  3.4950e+00	  3.9298e-02	
  3.5949e+00	  3.9464e-02	
  3.6947e+00	  3.9619e-02	
  3.7946e+00	  3.9765e-02	
  3.8944e+00	  3.9903e-02	
  3.9942e+00	  4.0032e-02	
  4.0941e+00	  4.0153e-02	
  4.1939e+00	  4.0266e-02	
  4.2937e+00	  4.0372e-02	
  4.3936e+00	  4.0471e-02	
  4.4934e+00	  4.0564e-02	
  4.5933e+00	  4.0650e-02	
  4.6931e+00	  4.0730e-02	
  4.7929e+00	  4.0804e-02	
  4.8928e+00	  4.0873e-02	
  4.9926e+00	  4.0937e-02	
  5.0925e+00	  4.0995e-02	
  5.1923e+00	  4.1049e-02	
  5.2922e+00	  4.1098e-02	
  5.3920e+00	  4.1142e-02	
  5.4918e+00	  4.1182e-02	
  5.5917e+00	  4.1219e-02	
  5.6915e+00	  4.1251e-02	
  5.7914e+00	  4.1280e-02	
  5.8912e+00	  4.1305e-02	
  5.9911e+00	  4.1326e-02	
