       la_Na	  la_Citrate	       la_H+	
 -1.0000e+03	 -1.0000e+03	 -6.9990e+00	
 -1.0000e+03	 -1.0000e+03	 -1.0982e+01	
 -1.0000e+03	 -1.0000e+03	 -1.1277e+01	
 -1.0000e+03	 -1.0000e+03	 -1.1449e+01	
 -1.0000e+03	 -1.0000e+03	 -1.1570e+01	
 -1.0000e+03	 -1.0000e+03	 -1.1664e+01	
 -1.0000e+03	 -1.0000e+03	 -1.1740e+01	
 -1.0000e+03	 -1.0000e+03	 -1.1804e+01	
 -1.0000e+03	 -1.0000e+03	 -1.1860e+01	
 -1.0000e+03	 -1.0000e+03	 -1.1909e+01	
 -1.0000e+03	 -1.0000e+03	 -1.1952e+01	
 -1.0000e+03	 -1.0000e+03	 -1.1992e+01	
